item_id,score
1604542543,2.4308946403980243
B08K2LF179,2.430894208745631
B00BYEW02M,2.4308940878309544
B08TG7P736,2.4308939582485594
B09FS9NS76,2.4194919798425523
1933185066,2.4194919304365556
B077NW4SQS,2.419491589795209
B08YS3HNJX,2.4194913301970327
1501175467,2.4132821256448707
1501182099,2.4132820355005955
1982127791,2.4132818838155177
150824412X,2.413281453463282
B00DZEWX4O,2.410253622520925
0394560884,2.408090218996286
B0B5KJWLMB,2.4080895684839945
1680470302,2.408089438468213
1462117287,2.4080892651138384
B0172NFJ30,2.4080892651138384
B07CT8VJPW,2.408088875066495
B00LEPOJHK,2.408088831727901
086690431X,2.4077455301140738
0441018882,2.407744858365871
B00YID9WJ0,2.407744685011496
1501120603,2.401879062907249
B08QDLXBCS,2.3995011374149158
014311655X,2.396688135277496
1937054586,2.3966869248305738
1736012762,2.3966867670780925
148700480X,2.3966866843013785
B0056AEQVI,2.3966866370623117
B09QHHTK7P,2.3966866370623117
B075X2GCLB,2.3966864203693428
1501143794,2.39668639826666
B01MYDPHCV,2.396686247014968
B09GRLTYDG,2.3966860740939793
B08YS4ZMNL,2.3966860740939793
B07VP6K47F,2.3966860740939793
B00U1QRIHG,2.3966860740939793
0441015387,2.3963422303143442
B01E49VHHC,2.3963418840389807
B08DCHK56L,2.3963418840389807
B01C2GFP5Y,2.391692537540979
0062416405,2.3904769224149014
1324001488,2.390476651982077
1626524920,2.390476411019496
B07JY7LPZF,2.3904763616134987
1978064179,2.3896067469951223
0684863561,2.3869294239758463
B00BEHIRPS,2.3869291656778278
0671741187,2.38692891474737
0380973464,2.385285874737244
1451660804,2.3852851267131165
0061099368,2.3852842166026487
1490450335,2.38528418236516
1912240122,2.385284181065002
0380788624,2.385284082686394
0060179112,2.385284034147169
1455572195,2.3852840107443285
B005LCYR7Y,2.385284009010785
B082356PZ5,2.385284009010785
0345462882,2.385283920600054
B0883CQVBG,2.3852838573257067
B003V1WT3Q,2.38528383565641
1478916877,2.385283802285693
B000OIZV48,2.385283792317816
051513712X,2.385283792317816
1605984655,2.3852837437785914
0786700416,2.385283710407874
B00J7EUP14,2.385283705640629
B0841462TR,2.3852836623020353
B07VRYGZYV,2.3852836623020353
B09NQ4MTKP,2.3852836623020353
0743271130,2.3852836592683335
B01CLH5AUE,2.3852835756248476
0140013083,2.3852835435542885
B01N8YSLGA,2.3852834889476604
B0040X4Y78,2.3852834460424526
B01M8PPXOC,2.3852834460424526
B00B2UMV6S,2.3852834460424526
B07HM1ZV95,2.383959455462695
B07RYZXXPZ,2.3812342669858184
1543910432,2.3803926444793038
1609101286,2.3794603283674207
B0064HJNQK,2.3792259629532686
0062200577,2.379074953109999
1476785597,2.3790742809284104
0312290314,2.379074147445542
0393338312,2.379073905616189
B000FA65GI,2.379073782967969
B00IGVH9LI,2.379073782967969
1416566384,2.379073782967969
0393065049,2.3790737227273238
0062200585,2.3790737222939375
0765332566,2.379073692390308
B001NLL4BY,2.379073652952188
0062653954,2.379073652085416
B000YJ85IQ,2.3790736096135943
B0151YQUIK,2.3790110011597756
1455591041,2.379010930084482
B0BZF7M352,2.3783499639443804
1642373710,2.3771359194062884
B07TBBP6HK,2.3771186813975764
B0B1W3XN58,2.376736005061414
B07N2Y1T8G,2.3764727494751257
0983376786,2.3762481658907473
B013L1QJ04,2.375792623717124
044661274X,2.373887853144843
0765343509,2.373883634566131
0765302853,2.373883201180194
B005DI71QA,2.373883013957469
0778324400,2.3738822746010606
0671024086,2.373881858117175
