ItemID,MeanRating
34,3.7166882276843456
93,2.5836120401337794
171,3.520094562647755
179,2.783561643835618
222,3.5486425339366514
231,3.0522196011151626
287,3.205882352941176
289,3.351588170865279
319,3.8811455847255374
458,3.1394658753709184
494,3.3934472934472946
495,3.5362318840579707
549,3.95662100456621
561,3.3289473684210527
580,3.08092485549133
599,4.087048832271762
705,3.591999999999999
773,3.166666666666666
788,2.948461253244346
801,3.0657894736842115
802,3.532425068119892
929,3.902439024390245
996,3.041879468845762
1005,2.526655896607431
1060,3.979812043160459
1070,3.043478260869565
1130,3.302197802197803
1224,4.193669932177846
1341,2.9508196721311473
1383,2.234042553191489
1408,3.839058171745151
1468,2.6974789915966397
1713,2.911111111111111
1717,2.860623781676414
1757,4.0
1780,3.238095238095239
1807,3.17741935483871
1822,1.8999999999999992
1866,3.092885375494071
1970,2.7733142037302727
2013,3.3593642017968213
2099,3.671052631578947
2114,3.7255297679111994
2134,3.3959208158368317
2327,2.9560975609756097
2336,4.007023019898556
2458,2.5542635658914743
2463,3.425025853154084
2529,3.7301543550165377
2609,3.9545454545454537
2624,4.047210300429184
2661,3.313609467455621
2722,2.798496946923438
2839,3.69090909090909
2875,3.1622950819672133
2877,3.084536082474228
2962,3.4460431654676267
2998,3.3214285714285707
3012,3.2727272727272734
3030,4.3269415148609776
3113,2.734126984126984
3248,2.626702997275204
3282,3.75
3321,3.0
3360,3.9579100145137875
3436,2.8225806451612905
3458,2.75
3492,3.5172413793103434
3608,3.3942542787286074
3692,2.4252873563218396
3789,4.015625
3879,3.014888337468982
3968,2.9793459552495696
4054,3.330654420206658
4108,3.1818181818181808
4114,2.8571428571428568
4120,2.5625
4166,3.635922330097088
4199,2.5399999999999996
4284,2.82
4293,2.9940828402366866
4319,3.1111111111111125
4332,3.327433628318585
4344,3.2000000000000006
4363,3.0833333333333335
4499,3.782062028499581
4522,3.2368421052631584
4562,3.715596330275231
4597,3.0
4634,3.235294117647059
4647,2.428571428571428
4653,3.0
4760,3.5454545454545463
