UserID,ItemID,Rating,Timestamp
1,3030,3.0,1112484548
6,494,4.0,858275558
6,788,4.0,858275658
6,802,3.0,858275783
19,494,4.0,855176684
19,788,4.0,855176723
19,802,4.0,855176806
26,231,2.0,839270662
38,222,3.0,835886103
38,289,5.0,835718425
38,458,3.0,835885912
40,1060,5.0,940851848
40,1717,2.0,950119695
40,3608,3.0,961901715
47,34,1.0,1239940492
47,231,1.0,1239940481
47,3360,1.0,1235025741
48,171,3.0,850711416
48,319,4.0,850711000
48,1224,4.0,850711212
52,34,4.0,836485582
55,2529,4.0,948332944
57,1408,5.0,1098800793
61,231,3.0,1197163179
64,231,1.0,847390214
70,494,1.0,1020294744
70,1060,5.0,1020293949
70,2722,1.0,1020294816
73,34,5.0,963031470
73,1060,4.0,963031793
73,3360,5.0,963033221
77,2529,4.0,1341428647
77,3030,5.0,1341428578
83,1060,3.0,1112724202
85,1224,4.0,1400427758
96,4344,3.0,1371090054
96,8873,4.0,1421553026
96,8983,4.0,1372353853
96,32031,3.0,1421553499
96,58295,4.0,1421553404
96,70286,5.0,1366893549
96,93510,3.0,1421553907
103,3968,3.0,1055018234
103,4054,5.0,1055017712
103,4844,4.0,1056820864
105,788,4.0,866650751
105,802,4.0,866650751
109,2336,3.0,1057859261
109,4166,3.0,1057612864
119,34,5.0,845110428
121,1005,3.0,1300767179
124,231,2.0,1134476146
124,1717,1.0,1134477618
124,4844,5.0,1134475520
126,494,3.0,856218064
126,788,3.0,856218279
130,179,3.0,853581839
130,222,4.0,853578546
130,458,2.0,852140242
130,494,3.0,853582531
130,788,3.0,861115498
130,802,3.0,854273984
130,1408,5.0,851359457
134,34,4.0,945063802
134,222,3.0,945841234
134,788,3.0,945414215
134,802,3.0,945842082
134,1060,4.0,945063590
134,1130,3.0,945150844
134,1408,3.0,945064289
134,1717,2.0,945414714
134,1970,3.0,945151155
134,2114,4.0,945066650
134,2134,3.0,945066718
134,2336,4.0,945064326
134,2529,4.0,945503476
134,2722,2.0,945151930
140,494,3.0,877984130
140,549,5.0,877999720
140,802,4.0,877983984
140,1468,4.0,886209832
140,1717,2.0,885854118
140,2134,5.0,914178555
145,1717,3.0,948499031
147,231,4.0,1161488864
147,802,4.0,1161491192
147,2336,3.0,1161491432
147,4344,3.0,1161491678
150,2114,4.0,1293713450
156,34,3.0,1039202813
156,93,4.0,1038341196
156,171,3.0,1037305055
156,179,3.0,1040933320
156,222,3.0,1038428656
156,231,1.0,1039550257
156,287,3.0,1040327223
156,289,3.0,1040944712
156,494,4.0,1041017651
156,580,4.0,1043439149
156,599,4.0,1052333951
156,788,3.0,1037752878
156,802,4.0,1040944397
156,996,3.0,1037392040
156,1005,3.0,1038105449
156,1130,4.0,1038800620
156,1408,5.0,1041030951
156,1717,4.0,1041028383
156,1807,4.0,1040240444
156,2013,5.0,1037218353
156,2099,4.0,1041027072
156,2114,5.0,1043438859
156,2327,4.0,1037753194
156,2336,5.0,1037217495
156,2463,3.0,1040938033
156,2529,5.0,1037752832
156,2661,4.0,1039204398
156,2722,4.0,1037217207
156,2875,4.0,1040327384
156,2998,4.0,1040934211
156,3113,3.0,1037217495
156,3282,4.0,1038943606
156,3789,4.0,1038943606
156,3879,4.0,1040937261
156,4054,4.0,1038801931
156,4332,4.0,1041027868
156,4344,5.0,1041018283
156,4499,4.0,1038102306
156,4522,4.0,1041027970
156,4562,4.0,1040327160
156,4597,3.0,1038105153
156,4653,3.0,1040242191
156,5208,2.0,1037392159
156,5580,3.0,1041031205
156,5843,4.0,1037302726
157,1224,3.0,967866200
157,1408,4.0,967866485
162,3030,3.0,1344122242
162,45662,2.0,1385772318
164,231,3.0,845248238
169,1224,5.0,945577287
169,2099,4.0,945578132
169,2134,5.0,945576106
172,34,5.0,830279834
172,231,2.0,830279791
174,1408,4.0,1150570004
179,34,2.0,1126000791
179,3248,3.0,1126000885
188,34,3.0,847307638
188,222,2.0,847308029
188,494,3.0,847308066
190,70286,4.0,1329076063
199,1060,5.0,850855449
204,2134,4.0,1353351786
206,788,4.0,1117066751
206,3968,3.0,1117063605
206,4054,3.0,1117061437
206,4344,4.0,1117065120
206,5872,3.0,1117065106
206,8666,3.0,1117065078
213,70286,4.0,1384603624
220,1060,5.0,1056137185
220,2134,4.0,1084583959
220,4344,4.0,1076277390
220,70286,5.0,1332634735
231,231,2.0,833529837
232,34,2.0,1162150039
232,231,4.0,1162150066
234,34,3.0,844344283
243,231,1.0,847954783
246,2134,3.0,1253310538
248,231,4.0,1329280523
248,3030,4.0,1390671475
255,34,5.0,951301097
255,788,3.0,951299758
259,34,4.0,847280531
259,231,4.0,847280269
262,34,5.0,939681714
264,34,5.0,1197047853
264,4499,1.0,1197066453
267,2134,4.0,917389556
267,2458,4.0,917389784
267,2463,5.0,917389372
269,494,4.0,879434604
269,788,2.0,879434667
269,801,1.0,879434484
269,802,5.0,879434365
272,2661,3.0,978745524
272,3968,5.0,978745164
275,34,4.0,1124416862
275,2336,4.0,1118835237
280,34,4.0,1113017902
280,6856,4.0,1112475524
281,319,5.0,1367248560
283,34,3.0,1002381372
283,231,3.0,1002381372
283,580,3.0,1005325206
283,2722,3.0,1005327277
283,3113,2.0,1002383993
290,231,4.0,1057148070
290,5872,2.0,1039601379
294,34,2.0,1288479918
294,231,1.0,1288479619
294,494,3.0,1289067626
294,788,2.0,1288480174
294,802,4.0,1289069575
294,1060,4.0,1289072545
294,1408,3.0,1289072576
294,2336,3.0,1289070008
294,2529,4.0,1288480217
294,2722,2.0,1289072784
294,4344,4.0,1289072904
294,5872,4.0,1289072637
294,8983,5.0,1289072989
294,39292,4.0,1289072986
294,46322,5.0,1288480442
294,49526,3.0,1288436833
294,70286,4.0,1288479791
294,81546,3.0,1289070367
296,34,3.0,833870836
299,2529,1.0,945056481
317,34,2.0,1185202805
317,231,4.0,1185202811
317,788,3.0,1185203077
317,3968,5.0,1154019632
317,4344,5.0,1154019629
317,5872,4.0,1154019576
352,34,5.0,837516741
352,231,3.0,837516603
358,93,2.0,868842032
358,231,1.0,868929751
359,34,4.0,1067218393
359,222,4.0,1087077936
359,494,4.0,1067175235
359,599,5.0,1067185411
359,788,3.0,1087076890
359,802,4.0,1087077131
359,1060,5.0,1067185250
359,1408,5.0,1067184608
359,1713,4.0,1141046735
359,2529,4.0,1075706523
359,2624,5.0,1067182812
359,3030,4.0,1242373683
359,3113,2.0,1116821625
359,3968,4.0,1079915485
359,4344,2.0,1079915170
359,5107,2.0,1191578381
359,5872,4.0,1116821568
359,27604,3.0,1116820255
359,31437,3.0,1145838422
359,31892,3.0,1238925580
359,31952,3.0,1126523215
359,32031,3.0,1132088778
359,41721,4.0,1199185434
359,44849,4.0,1206384925
359,46322,4.0,1165479613
359,70286,4.0,1251442357
359,71462,4.0,1265109699
366,287,4.0,836444871
366,458,3.0,836444829
368,34,3.0,845911481
368,231,4.0,845911364
370,996,5.0,1186915066
370,3030,2.0,1422140950
370,8983,5.0,1310614058
370,31952,5.0,1186945145
370,59256,3.0,1225130446
370,70286,5.0,1257113770
370,101741,1.0,1418841624
374,179,4.0,847961926
374,222,4.0,847961276
374,289,3.0,847961481
374,319,4.0,847961387
374,494,4.0,847961330
378,231,4.0,997022470
378,494,5.0,995820754
378,1060,2.0,1009160620
378,3360,5.0,995722522
378,4344,4.0,1041517663
378,5872,4.0,1041517411
380,2529,5.0,1025293247
380,2722,3.0,1025293649
380,4844,2.0,1025292936
383,34,2.0,1262307298
383,93,3.0,1262306858
383,2722,2.0,1261996099
383,56941,4.0,1261996811
383,69134,4.0,1281190961
389,494,3.0,886118349
389,788,2.0,886118547
389,1224,4.0,886118929
389,1717,3.0,886117415
397,34,5.0,839185234
397,231,3.0,839185186
404,319,4.0,1272607373
409,34,4.0,1359776429
409,231,4.0,1336402356
409,788,3.0,1336405994
409,802,5.0,1336496661
409,1408,4.0,1336401826
409,3360,4.0,1336364793
409,70286,3.0,1336402525
417,34,4.0,945301345
417,179,1.0,945305499
417,222,3.0,945303321
417,289,2.0,945305360
417,580,1.0,945302532
